STATE,STATEA,COUNTY,COUNTYA,num_vehicles,tot_vehicles,st_cnty_name
Alabama,1,Houston County,69,3,5888,"Houston County, Alabama"
Alabama,1,Houston County,69,4,1667,"Houston County, Alabama"
Alabama,1,Houston County,69,5,694,"Houston County, Alabama"
Alabama,1,Jackson County,71,1,6309,"Jackson County, Alabama"
Alabama,1,Jackson County,71,2,7190,"Jackson County, Alabama"
Alabama,1,Jackson County,71,3,4059,"Jackson County, Alabama"
Alabama,1,Jackson County,71,4,1626,"Jackson County, Alabama"
Alabama,1,Jackson County,71,5,615,"Jackson County, Alabama"
Alabama,1,Jefferson County,73,1,91522,"Jefferson County, Alabama"
Alabama,1,Jefferson County,73,2,93561,"Jefferson County, Alabama"
Alabama,1,Jefferson County,73,3,38055,"Jefferson County, Alabama"
Alabama,1,Jefferson County,73,4,12742,"Jefferson County, Alabama"
Alabama,1,Jefferson County,73,5,5165,"Jefferson County, Alabama"
Alabama,1,Lamar County,75,1,1841,"Lamar County, Alabama"
Alabama,1,Lamar County,75,2,2009,"Lamar County, Alabama"
Alabama,1,Lamar County,75,3,1053,"Lamar County, Alabama"
Alabama,1,Lamar County,75,4,358,"Lamar County, Alabama"
Alabama,1,Lamar County,75,5,190,"Lamar County, Alabama"
Alabama,1,Lauderdale County,77,1,11185,"Lauderdale County, Alabama"
Alabama,1,Lauderdale County,77,2,14207,"Lauderdale County, Alabama"
Alabama,1,Lauderdale County,77,3,6636,"Lauderdale County, Alabama"
Alabama,1,Lauderdale County,77,4,2768,"Lauderdale County, Alabama"
Alabama,1,Lauderdale County,77,5,1254,"Lauderdale County, Alabama"
Alabama,1,Lawrence County,79,1,3787,"Lawrence County, Alabama"
Alabama,1,Lawrence County,79,2,3856,"Lawrence County, Alabama"
Alabama,1,Lawrence County,79,3,2662,"Lawrence County, Alabama"
Alabama,1,Lawrence County,79,4,1127,"Lawrence County, Alabama"
Alabama,1,Lawrence County,79,5,493,"Lawrence County, Alabama"
Alabama,1,Lee County,81,1,19351,"Lee County, Alabama"
Alabama,1,Lee County,81,2,23127,"Lee County, Alabama"
Alabama,1,Lee County,81,3,9981,"Lee County, Alabama"
Alabama,1,Lee County,81,4,3568,"Lee County, Alabama"
Alabama,1,Lee County,81,5,1560,"Lee County, Alabama"
Alabama,1,Limestone County,83,1,8481,"Limestone County, Alabama"
Alabama,1,Limestone County,83,2,12720,"Limestone County, Alabama"
Alabama,1,Limestone County,83,3,6500,"Limestone County, Alabama"
Alabama,1,Limestone County,83,4,2523,"Limestone County, Alabama"
Alabama,1,Limestone County,83,5,969,"Limestone County, Alabama"
Alabama,1,Lowndes County,85,1,1569,"Lowndes County, Alabama"
